week_year,after_election,Show Not in Apple's Top 100_total_episodes,Show in Apple's Top 100_total_episodes,Show Not in Apple's Top 100_total_fake,Show in Apple's Top 100_total_fake,Show Not in Apple's Top 100_prop_total_false,Show in Apple's Top 100_prop_total_false,,a+b,c+d,cd/ab (total)
2020-34,Before election,99,73,0,2,0,0.02739726,,172,2,0.011627907
2020-35,Before election,121,87,0,4,0,0.045977011,,208,4,0.019230769
2020-36,Before election,95,74,1,8,0.010526316,0.108108108,,169,9,0.053254438
2020-37,Before election,119,78,1,3,0.008403361,0.038461538,,197,4,0.020304569
2020-38,Before election,130,89,0,5,0,0.056179775,,219,5,0.02283105
2020-39,Before election,116,84,4,11,0.034482759,0.130952381,,200,15,0.075
2020-40,Before election,119,93,2,7,0.016806723,0.075268817,,212,9,0.04245283
2020-41,Before election,117,82,5,1,0.042735043,0.012195122,,199,6,0.030150754
2020-42,Before election,128,89,0,6,0,0.06741573,,217,6,0.02764977
2020-43,Before election,138,87,0,3,0,0.034482759,,225,3,0.013333333
2020-44,Before election,121,82,0,8,0,0.097560976,,203,8,0.039408867
2020-45,After election,110,88,16,41,0.145454545,0.465909091,,198,57,0.287878788
2020-46,After election,113,90,19,54,0.168141593,0.6,,203,73,0.359605911
2020-47,After election,111,88,10,49,0.09009009,0.556818182,,199,59,0.296482412
2020-48,After election,91,74,7,39,0.076923077,0.527027027,,165,46,0.278787879
2020-49,After election,117,89,13,55,0.111111111,0.617977528,,206,68,0.330097087
2020-50,After election,115,88,13,45,0.113043478,0.511363636,,203,58,0.285714286
2020-51,After election,114,90,10,39,0.087719298,0.433333333,,204,49,0.240196078
2020-52,After election,64,67,4,24,0.0625,0.358208955,,131,28,0.213740458
2020-53,After election,25,23,1,13,0.04,0.565217391,,48,14,0.291666667
2021-1,After election,71,67,6,31,0.084507042,0.462686567,,138,37,0.268115942
