week_year,after_election,Show Not in Apple's Top 100_total_episodes,Show in Apple's Top 100_total_episodes,Show Not in Apple's Top 100_total_fake,Show in Apple's Top 100_total_fake,Show Not in Apple's Top 100_prop_total_false,Show in Apple's Top 100_prop_total_false
2020-34,Before Election,99,73,0,2,0,0.0273972602739726
2020-35,Before Election,121,87,0,4,0,0.04597701149425287
2020-36,Before Election,95,74,1,8,0.010526315789473684,0.10810810810810811
2020-37,Before Election,119,78,1,3,0.008403361344537815,0.038461538461538464
2020-38,Before Election,130,89,0,5,0,0.056179775280898875
2020-39,Before Election,116,84,4,11,0.034482758620689655,0.13095238095238096
2020-40,Before Election,119,93,2,7,0.01680672268907563,0.07526881720430108
2020-41,Before Election,117,82,5,1,0.042735042735042736,0.012195121951219513
2020-42,Before Election,128,89,0,6,0,0.06741573033707865
2020-43,Before Election,138,87,0,3,0,0.034482758620689655
2020-44,Before Election,121,82,0,8,0,0.0975609756097561
2020-45,After Election,110,88,16,41,0.14545454545454545,0.4659090909090909
2020-46,After Election,113,90,19,54,0.168141592920354,0.6
2020-47,After Election,111,88,10,49,0.09009009009009009,0.5568181818181818
2020-48,After Election,91,74,7,39,0.07692307692307693,0.527027027027027
2020-49,After Election,117,89,13,55,0.1111111111111111,0.6179775280898876
2020-50,After Election,115,88,13,45,0.11304347826086956,0.5113636363636364
2020-51,After Election,114,90,10,39,0.08771929824561403,0.43333333333333335
2020-52,After Election,64,67,4,24,0.0625,0.3582089552238806
2020-53,After Election,25,23,1,13,0.04,0.5652173913043478
2021-1,After Election,71,67,6,31,0.08450704225352113,0.4626865671641791
