income,pell0,pell1,pell2,public0,public1,public2,private0,private1,private2
0,0,0,0,1500,1500,1500,1500,1500,1500
10000,0,0,0,1500,1500,1500,1500,1500,1500
20000,0,0,0,1500,1500,1500,1500,1500,1500
30000,0,0,0,1500,1500,1500,1500,1500,1500
40000,450,225,150,1500,1500,1500,1500,1500,1500
50000,2380,630,47,0,0,0,0,0,0
60000,2570,-700,-1790,0,0,0,0,0,0
70000,575,-2025,-3623,2195,0,0,2195,0,0
80000,0,-1080,-3185,2970,-2265,-2265,2970,-2265,-2265
90000,0,0,-2168,3170,-4670,-5115,3170,-4670,-5115
100000,0,0,-1155,3370,-5990,-7955,3370,-5990,-7955
110000,0,0,-138,3560,-7325,-10815,3560,-7325,-10815
120000,0,0,0,950,-8645,-12780,3760,-8645,-12780
130000,0,0,0,0,-8070,-12713,3960,-9970,-14613
140000,0,0,0,0,-6550,-11700,4160,-11290,-16440
150000,0,0,0,0,-5025,-10683,4360,-12615,-18273
160000,0,0,0,0,-3505,-9670,4550,-13945,-20110
170000,0,0,0,0,-1980,-8653,4750,-15270,-21943
180000,0,0,0,0,-460,-7640,4950,-16590,-23770
190000,0,0,0,0,0,-6623,5150,-17915,-25603
200000,0,0,0,0,0,-5610,5350,-19235,-27430
210000,0,0,0,0,0,-4593,5320,-20570,-29273
220000,0,0,0,0,0,-3580,2480,-21890,-31100
230000,0,0,0,0,0,-2563,0,-22845,-32563
240000,0,0,0,0,0,-1550,0,-21325,-31550
250000,0,0,0,0,0,-533,0,-19800,-30533
260000,0,0,0,0,0,0,0,-18280,-29520
270000,0,0,0,0,0,0,0,-16755,-28503
280000,0,0,0,0,0,0,0,-15235,-27490
290000,0,0,0,0,0,0,0,-13710,-26473
300000,0,0,0,0,0,0,0,-12190,-25460
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
income,loan,value,,,,,,,
0,pell0,0,,,,,,,
0,pell1,0,,,,,,,
0,pell2,0,,,,,,,
0,public0,1500,,,,,,,
0,public1,1500,,,,,,,
0,public2,1500,,,,,,,
0,private0,1500,,,,,,,
0,private1,1500,,,,,,,
0,private2,1500,,,,,,,
10000,pell0,0,,,,,,,
10000,pell1,0,,,,,,,
10000,pell2,0,,,,,,,
10000,public0,1500,,,,,,,
