income,loan,value,type
0,pell0,0,pell
0,pell1,0,pell
0,pell2,0,pell
0,public0,1500,public
0,public1,1500,public
0,public2,1500,public
0,private0,1500,private
0,private1,1500,private
0,private2,1500,private
10000,pell0,0,pell
10000,pell1,0,pell
10000,pell2,0,pell
10000,public0,1500,public
10000,public1,1500,public
10000,public2,1500,public
10000,private0,1500,private
10000,private1,1500,private
10000,private2,1500,private
20000,pell0,0,pell
20000,pell1,0,pell
20000,pell2,0,pell
20000,public0,1500,public
20000,public1,1500,public
20000,public2,1500,public
20000,private0,1500,private
20000,private1,1500,private
20000,private2,1500,private
30000,pell0,0,pell
30000,pell1,0,pell
30000,pell2,0,pell
30000,public0,1500,public
30000,public1,1500,public
30000,public2,1500,public
30000,private0,1500,private
30000,private1,1500,private
30000,private2,1500,private
40000,pell0,450,pell
40000,pell1,225,pell
40000,pell2,150,pell
40000,public0,1500,public
40000,public1,1500,public
40000,public2,1500,public
40000,private0,1500,private
40000,private1,1500,private
40000,private2,1500,private
50000,pell0,2380,pell
50000,pell1,630,pell
50000,pell2,47,pell
50000,public0,0,public
50000,public1,0,public
50000,public2,0,public
50000,private0,0,private
50000,private1,0,private
50000,private2,0,private
60000,pell0,2570,pell
60000,pell1,-700,pell
60000,pell2,-1790,pell
60000,public0,0,public
60000,public1,0,public
60000,public2,0,public
60000,private0,0,private
60000,private1,0,private
60000,private2,0,private
70000,pell0,575,pell
70000,pell1,-2025,pell
70000,pell2,-3623,pell
70000,public0,2195,public
70000,public1,0,public
70000,public2,0,public
70000,private0,2195,private
70000,private1,0,private
70000,private2,0,private
80000,pell0,0,pell
80000,pell1,-1080,pell
80000,pell2,-3185,pell
80000,public0,2970,public
80000,public1,-2265,public
80000,public2,-2265,public
80000,private0,2970,private
80000,private1,-2265,private
80000,private2,-2265,private
90000,pell0,0,pell
90000,pell1,0,pell
90000,pell2,-2168,pell
90000,public0,3170,public
90000,public1,-4670,public
90000,public2,-5115,public
90000,private0,3170,private
90000,private1,-4670,private
90000,private2,-5115,private
100000,pell0,0,pell
100000,pell1,0,pell
100000,pell2,-1155,pell
100000,public0,3370,public
100000,public1,-5990,public
100000,public2,-7955,public
100000,private0,3370,private
100000,private1,-5990,private
100000,private2,-7955,private
110000,pell0,0,pell
110000,pell1,0,pell
110000,pell2,-138,pell
110000,public0,3560,public
110000,public1,-7325,public
110000,public2,-10815,public
110000,private0,3560,private
110000,private1,-7325,private
110000,private2,-10815,private
120000,pell0,0,pell
120000,pell1,0,pell
120000,pell2,0,pell
120000,public0,950,public
120000,public1,-8645,public
120000,public2,-12780,public
120000,private0,3760,private
120000,private1,-8645,private
120000,private2,-12780,private
130000,pell0,0,pell
130000,pell1,0,pell
130000,pell2,0,pell
130000,public0,0,public
130000,public1,-8070,public
130000,public2,-12713,public
130000,private0,3960,private
130000,private1,-9970,private
130000,private2,-14613,private
140000,pell0,0,pell
140000,pell1,0,pell
140000,pell2,0,pell
140000,public0,0,public
140000,public1,-6550,public
140000,public2,-11700,public
140000,private0,4160,private
140000,private1,-11290,private
140000,private2,-16440,private
150000,pell0,0,pell
150000,pell1,0,pell
150000,pell2,0,pell
150000,public0,0,public
150000,public1,-5025,public
150000,public2,-10683,public
150000,private0,4360,private
150000,private1,-12615,private
150000,private2,-18273,private
160000,pell0,0,pell
160000,pell1,0,pell
160000,pell2,0,pell
160000,public0,0,public
160000,public1,-3505,public
160000,public2,-9670,public
160000,private0,4550,private
160000,private1,-13945,private
160000,private2,-20110,private
170000,pell0,0,pell
170000,pell1,0,pell
170000,pell2,0,pell
170000,public0,0,public
170000,public1,-1980,public
170000,public2,-8653,public
170000,private0,4750,private
170000,private1,-15270,private
170000,private2,-21943,private
180000,pell0,0,pell
180000,pell1,0,pell
180000,pell2,0,pell
180000,public0,0,public
180000,public1,-460,public
180000,public2,-7640,public
180000,private0,4950,private
180000,private1,-16590,private
180000,private2,-23770,private
190000,pell0,0,pell
190000,pell1,0,pell
190000,pell2,0,pell
190000,public0,0,public
190000,public1,0,public
190000,public2,-6623,public
190000,private0,5150,private
190000,private1,-17915,private
190000,private2,-25603,private
200000,pell0,0,pell
200000,pell1,0,pell
200000,pell2,0,pell
200000,public0,0,public
200000,public1,0,public
200000,public2,-5610,public
200000,private0,5350,private
200000,private1,-19235,private
200000,private2,-27430,private
210000,pell0,0,pell
210000,pell1,0,pell
210000,pell2,0,pell
210000,public0,0,public
210000,public1,0,public
210000,public2,-4593,public
210000,private0,5320,private
210000,private1,-20570,private
210000,private2,-29273,private
220000,pell0,0,pell
220000,pell1,0,pell
220000,pell2,0,pell
220000,public0,0,public
220000,public1,0,public
220000,public2,-3580,public
220000,private0,2480,private
220000,private1,-21890,private
220000,private2,-31100,private
230000,pell0,0,pell
230000,pell1,0,pell
230000,pell2,0,pell
230000,public0,0,public
230000,public1,0,public
230000,public2,-2563,public
230000,private0,0,private
230000,private1,-22845,private
230000,private2,-32563,private
240000,pell0,0,pell
240000,pell1,0,pell
240000,pell2,0,pell
240000,public0,0,public
240000,public1,0,public
240000,public2,-1550,public
240000,private0,0,private
240000,private1,-21325,private
240000,private2,-31550,private
250000,pell0,0,pell
250000,pell1,0,pell
250000,pell2,0,pell
250000,public0,0,public
250000,public1,0,public
250000,public2,-533,public
250000,private0,0,private
250000,private1,-19800,private
250000,private2,-30533,private
260000,pell0,0,pell
260000,pell1,0,pell
260000,pell2,0,pell
260000,public0,0,public
260000,public1,0,public
260000,public2,0,public
260000,private0,0,private
260000,private1,-18280,private
260000,private2,-29520,private
270000,pell0,0,pell
270000,pell1,0,pell
270000,pell2,0,pell
270000,public0,0,public
270000,public1,0,public
270000,public2,0,public
270000,private0,0,private
270000,private1,-16755,private
270000,private2,-28503,private
280000,pell0,0,pell
280000,pell1,0,pell
280000,pell2,0,pell
280000,public0,0,public
280000,public1,0,public
280000,public2,0,public
280000,private0,0,private
280000,private1,-15235,private
280000,private2,-27490,private
290000,pell0,0,pell
290000,pell1,0,pell
290000,pell2,0,pell
290000,public0,0,public
290000,public1,0,public
290000,public2,0,public
290000,private0,0,private
290000,private1,-13710,private
290000,private2,-26473,private
